iter	Logloss
0	0.5728702818
1	0.4792236116
2	0.4250234189
3	0.3865488965
4	0.3576619535
5	0.339237816
6	0.3251085826
7	0.313222038
8	0.3042364914
9	0.2975554238
10	0.2920568118
11	0.2870902214
12	0.2832220589
13	0.2798365619
14	0.2764805748
15	0.2742207161
16	0.2723648645
17	0.2705902017
18	0.268430472
19	0.2667930228
20	0.2647935354
21	0.2630256841
22	0.2617086762
23	0.2602589522
24	0.2589233012
25	0.2576189596
26	0.2564691108
27	0.2555339573
28	0.2541971267
29	0.2526785219
30	0.2520711914
31	0.2513302217
32	0.2506148457
33	0.2496006967
34	0.2488647387
35	0.2480867323
36	0.2473599707
37	0.2464154127
38	0.2455927594
39	0.245003011
40	0.2442578237
41	0.2433563538
42	0.2423174766
43	0.2413209287
44	0.2403186625
45	0.2398039702
46	0.2392176295
47	0.2380791981
48	0.2371471114
49	0.2364832816
50	0.2352348683
51	0.2348665022
52	0.2341857967
53	0.2334736569
54	0.2326254093
55	0.2312967907
56	0.230763466
57	0.2300834071
58	0.2292581925
59	0.2288037335
60	0.2282196809
61	0.2276724798
62	0.2270674374
63	0.2265067963
64	0.2259156798
65	0.2251668837
66	0.2240619031
67	0.2232124537
68	0.2222928267
69	0.221758194
70	0.2209832573
71	0.2203288312
72	0.2195092634
73	0.2191210951
74	0.2184005605
75	0.2179408673
76	0.2174361674
77	0.2170875437
78	0.2164046401
79	0.2159175995
80	0.2148577785
81	0.2142634695
82	0.2135086399
83	0.2128511361
84	0.2120722834
85	0.2116314863
86	0.2108404246
87	0.210833719
88	0.2103047603
89	0.209911731
90	0.2090481149
91	0.2085883064
92	0.2078327367
93	0.2075273662
94	0.20703851
95	0.2069779407
96	0.2063189491
97	0.2058246316
98	0.205014603
99	0.2044671891
100	0.2039294675
101	0.2033207648
102	0.2027935865
103	0.2021069039
104	0.2018058846
105	0.2010913152
106	0.20070993
107	0.2000202149
108	0.1997374448
109	0.1993942043
110	0.1987263431
111	0.1981248143
112	0.1971524375
113	0.1964954283
114	0.1960679051
115	0.1950564434
116	0.1946998308
117	0.1940845184
118	0.1934498414
119	0.192376285
120	0.1918839384
121	0.1913224582
122	0.1907149609
123	0.1902072564
124	0.1894569799
125	0.1892038926
126	0.1888224324
127	0.1883715046
128	0.1876564642
129	0.1872450666
130	0.1867604364
131	0.1859519952
132	0.1853479708
133	0.1849468131
134	0.18420339
135	0.1835627808
136	0.1831618987
137	0.1824253254
138	0.1820934905
139	0.1815632236
140	0.1808949516
141	0.1800165377
142	0.1788062272
143	0.1781522509
144	0.177638611
145	0.1770354104
146	0.176454583
147	0.1757077837
148	0.1752421078
149	0.1747612459
150	0.1742109199
151	0.1737525293
152	0.1731854599
153	0.1727020102
154	0.1722904169
155	0.1716081018
156	0.1710370658
157	0.1701125037
158	0.1696547984
159	0.1690716794
160	0.1686876314
161	0.1679945377
162	0.1674548078
163	0.1670126242
164	0.1665390697
165	0.16583443
166	0.1650483363
167	0.1641648467
168	0.163609277
169	0.1631767756
170	0.1624943028
171	0.1621438428
172	0.1616164977
173	0.1611373445
174	0.1604990457
175	0.1598651907
176	0.1590928723
177	0.1588066117
178	0.1580996282
179	0.1573680466
180	0.1568152118
181	0.156081058
182	0.1556825613
183	0.1552125432
184	0.1545382687
185	0.1541170217
186	0.1535773233
187	0.1531956726
188	0.152822269
189	0.1523265144
190	0.151614297
191	0.1510627623
192	0.1507518968
193	0.1504273935
194	0.1498371591
195	0.1495256703
196	0.1490165341
197	0.1486729751
198	0.1481694056
199	0.1478291543
200	0.1474140776
201	0.1469860731
202	0.1464302297
203	0.1460013505
204	0.1456676925
205	0.1451670321
206	0.1449157743
207	0.1444401977
208	0.1439323705
209	0.1435536307
210	0.1432912541
211	0.1428568978
212	0.1424660811
213	0.1420442975
214	0.1416820531
215	0.1413682905
216	0.1409670366
217	0.1405629422
218	0.1402903734
219	0.1397151801
220	0.1390571876
221	0.1383638388
222	0.1376333987
223	0.1373202338
224	0.1365553295
225	0.1362016064
226	0.1358269432
227	0.1354253597
228	0.1349617994
229	0.1347296481
230	0.1342296737
231	0.1338944213
232	0.1334483487
233	0.1331302893
234	0.1326595092
235	0.1323365554
236	0.1320808495
237	0.1315428506
238	0.1311393109
239	0.13074189
240	0.1304480041
241	0.1299651279
242	0.1294092177
243	0.1292210361
244	0.1286147955
245	0.1284270288
246	0.1279719857
247	0.127634373
248	0.1272460114
249	0.1267613214
