iter	Passed	Remaining
0	3	477
1	6	468
2	9	452
3	12	454
4	15	460
5	18	454
6	21	435
7	23	419
8	26	410
9	28	394
10	30	385
11	33	388
12	36	386
13	38	373
14	40	360
15	41	349
16	43	337
17	44	328
18	46	318
19	47	309
20	48	300
21	50	291
22	51	284
23	52	276
24	53	269
25	55	262
26	56	256
27	57	250
28	58	244
29	61	244
30	62	238
31	63	234
32	64	229
33	65	224
34	66	219
35	68	215
36	69	211
37	70	207
38	71	204
39	72	200
40	74	196
41	75	193
42	76	190
43	78	187
44	79	184
45	80	181
46	81	179
47	83	176
48	84	173
49	85	170
50	86	168
51	87	165
52	89	162
53	90	160
54	91	158
55	92	155
56	94	153
57	95	151
58	96	149
59	97	146
60	99	144
61	100	142
62	101	140
63	102	138
64	104	136
65	105	134
66	107	132
67	108	130
68	109	128
69	110	126
70	111	124
71	113	122
72	114	120
73	115	118
74	116	116
75	117	114
76	119	113
77	120	111
78	121	109
79	123	108
80	125	106
81	126	104
82	127	102
83	128	101
84	129	99
85	131	97
86	132	96
87	134	94
88	135	92
89	136	90
90	137	89
91	139	87
92	140	86
93	141	84
94	142	82
95	144	81
96	145	79
97	146	77
98	147	76
99	148	74
100	150	73
101	151	71
102	153	69
103	154	68
104	155	66
105	157	65
106	158	63
107	159	62
108	160	60
109	162	58
110	163	57
111	164	55
112	165	54
113	166	52
114	168	51
115	169	49
116	170	48
117	171	46
118	173	45
119	174	43
120	175	42
121	176	40
122	177	39
123	179	37
124	180	36
125	182	34
126	183	33
127	184	31
128	186	30
129	187	28
130	189	27
131	190	25
132	191	24
133	192	23
134	194	21
135	195	20
136	196	18
137	198	17
138	199	15
139	200	14
140	201	12
141	203	11
142	204	10
143	205	8
144	206	7
145	208	5
146	209	4
147	210	2
148	213	1
149	214	0
